User_Id,Lesson_Id,Rating
1,33,1
1,31,1
1,34,1
1,46,1
1,55,2
1,18,1
1,45,2
1,1,5
1,4,1
1,49,1
1,15,1
1,54,2
1,43,2
1,42,2
1,40,1
1,50,1
1,16,2
1,35,2
1,25,2
1,21,2
1,48,1
1,6,1
1,24,2
1,26,2
1,19,2
1,10,1
1,32,2
1,56,1
1,47,1
1,20,2
1,14,1
1,3,3
1,51,2
1,53,2
1,57,1
1,7,1
1,41,1
1,22,2
1,28,1
1,8,2
1,17,2
1,9,2
1,13,1
1,23,1
1,27,1
1,44,1
1,36,1
1,30,2
1,38,1
1,52,1
1,11,1
1,12,2
1,2,3
1,29,1
1,5,1
1,37,1
1,39,1
12,33,1
12,31,1
12,34,1
12,46,1
12,55,2
12,18,1
12,45,2
12,1,5
12,4,1
12,49,1
12,15,1
12,54,2
12,43,2
12,42,2
12,40,1
12,50,1
12,16,2
12,35,2
12,25,2
12,21,2
12,48,1
12,6,1
12,24,2
12,26,2
12,19,2
12,10,1
12,32,2
12,56,1
12,47,1
12,20,2
12,14,1
12,3,3
12,51,2
12,53,2
12,57,1
12,7,1
12,41,1
12,22,2
12,28,1
12,8,2
12,17,2
12,9,2
12,13,1
12,23,1
12,27,1
12,44,1
12,36,1
12,30,2
12,38,1
12,52,1
12,11,1
12,12,2
12,2,3
12,29,1
12,5,1
12,37,1
12,39,1
13,33,1
13,31,1
13,34,1
13,46,1
13,55,2
13,18,1
13,45,2
13,1,5
13,4,1
13,49,1
13,15,1
13,54,2
13,43,2
13,42,2
13,40,1
13,50,1
13,16,2
13,35,2
13,25,2
13,21,2
13,48,1
13,6,1
13,24,2
13,26,2
13,19,2
13,10,1
13,32,2
13,56,1
13,47,1
13,20,2
13,14,1
13,3,3
13,51,2
13,53,2
13,57,1
13,7,1
13,41,1
13,22,2
13,28,1
13,8,2
13,17,2
13,9,2
13,13,1
13,23,1
13,27,1
13,44,1
13,36,1
13,30,2
13,38,1
13,52,1
13,11,1
13,12,2
13,2,3
13,29,1
13,5,1
13,37,1
13,39,1
14,33,1
14,31,1
14,34,1
14,46,1
14,55,2
14,18,1
14,45,2
14,1,5
14,4,1
14,49,1
14,15,1
14,54,2
14,43,2
14,42,2
14,40,1
14,50,1
14,16,2
14,35,2
14,25,2
14,21,2
14,48,1
14,6,1
14,24,2
14,26,2
14,19,2
14,10,1
14,32,2
14,56,1
14,47,1
14,20,2
14,14,1
14,3,3
14,51,2
14,53,2
14,57,1
14,7,1
14,41,1
14,22,2
14,28,1
14,8,2
14,17,2
14,9,2
14,13,1
14,23,1
14,27,1
14,44,1
14,36,1
14,30,2
14,38,1
14,52,1
14,11,1
14,12,2
14,2,3
14,29,1
14,5,1
14,37,1
14,39,1
15,33,1
15,31,1
15,34,1
15,46,1
15,55,2
15,18,1
15,45,2
15,1,5
15,4,1
15,49,1
15,15,1
15,54,2
15,43,2
15,42,2
15,40,1
15,50,1
15,16,2
15,35,2
15,25,2
15,21,2
15,48,1
15,6,1
15,24,2
15,26,2
15,19,2
15,10,1
15,32,2
15,56,1
15,47,1
15,20,2
15,14,1
15,3,3
15,51,2
15,53,2
15,57,1
15,7,1
15,41,1
15,22,2
15,28,1
15,8,2
15,17,2
15,9,2
15,13,1
15,23,1
15,27,1
15,44,1
15,36,1
15,30,2
15,38,1
15,52,1
15,11,1
15,12,2
15,2,3
15,29,1
15,5,1
15,37,1
15,39,1
16,33,1
16,31,1
16,34,1
16,46,1
16,55,2
16,18,1
16,45,2
16,1,5
16,4,1
16,49,1
16,15,1
16,54,2
16,43,2
16,42,2
16,40,1
16,50,1
16,16,2
16,35,2
16,25,2
16,21,2
16,48,1
16,6,1
16,24,2
16,26,2
16,19,2
16,10,1
16,32,2
16,56,1
16,47,1
16,20,2
16,14,1
16,3,3
16,51,2
16,53,2
16,57,1
16,7,1
16,41,1
16,22,2
16,28,1
16,8,2
16,17,2
16,9,2
16,13,1
16,23,1
16,27,1
16,44,1
16,36,1
16,30,2
16,38,1
16,52,1
16,11,1
16,12,2
16,2,3
16,29,1
16,5,1
16,37,1
16,39,1
17,33,1
17,31,1
17,34,1
17,46,1
17,55,2
17,18,1
17,45,2
17,1,5
17,4,1
17,49,1
17,15,1
17,54,2
17,43,2
17,42,2
17,40,1
17,50,1
17,16,2
17,35,2
17,25,2
17,21,2
17,48,1
17,6,1
17,24,2
17,26,2
17,19,2
17,10,1
17,32,2
17,56,1
17,47,1
17,20,2
17,14,1
17,3,3
17,51,2
17,53,2
17,57,1
17,7,1
17,41,1
17,22,2
17,28,1
17,8,2
17,17,2
17,9,2
17,13,1
17,23,1
17,27,1
17,44,1
17,36,1
17,30,2
17,38,1
17,52,1
17,11,1
17,12,2
17,2,3
17,29,1
17,5,1
17,37,1
17,39,1
18,33,1
18,31,1
18,34,1
18,46,1
18,55,2
18,18,1
18,45,2
18,1,5
18,4,1
18,49,1
18,15,1
18,54,2
18,43,2
18,42,2
18,40,1
18,50,1
18,16,2
18,35,2
18,25,2
18,21,2
18,48,1
18,6,1
18,24,2
18,26,2
18,19,2
18,10,1
18,32,2
18,56,1
18,47,1
18,20,2
18,14,1
18,3,3
18,51,2
18,53,2
18,57,1
18,7,1
18,41,1
18,22,2
18,28,1
18,8,2
18,17,2
18,9,2
18,13,1
18,23,1
18,27,1
18,44,1
18,36,1
18,30,2
18,38,1
18,52,1
18,11,1
18,12,2
18,2,3
18,29,1
18,5,1
18,37,1
18,39,1
19,33,1
19,31,1
19,34,1
19,46,1
19,55,2
19,18,1
19,45,2
19,1,5
19,4,1
19,49,1
19,15,1
19,54,2
19,43,2
19,42,2
19,40,1
19,50,1
19,16,2
19,35,2
19,25,2
19,21,2
19,48,1
19,6,1
19,24,2
19,26,2
19,19,2
19,10,1
19,32,2
19,56,1
19,47,1
19,20,2
19,14,1
19,3,3
19,51,2
19,53,2
19,57,1
19,7,1
19,41,1
19,22,2
19,28,1
19,8,2
19,17,2
19,9,2
19,13,1
19,23,1
19,27,1
19,44,1
19,36,1
19,30,2
19,38,1
19,52,1
19,11,1
19,12,2
19,2,3
19,29,1
19,5,1
19,37,1
19,39,1
20,33,1
20,31,1
20,34,1
20,46,1
20,55,2
20,18,1
20,45,2
20,1,5
20,4,1
20,49,1
20,15,1
20,54,2
20,43,2
20,42,2
20,40,1
20,50,1
20,16,2
20,35,2
20,25,2
20,21,2
20,48,1
20,6,1
20,24,2
20,26,2
20,19,2
20,10,1
20,32,2
20,56,1
20,47,1
20,20,2
20,14,1
20,3,3
20,51,2
20,53,2
20,57,1
20,7,1
20,41,1
20,22,2
20,28,1
20,8,2
20,17,2
20,9,2
20,13,1
20,23,1
20,27,1
20,44,1
20,36,1
20,30,2
20,38,1
20,52,1
20,11,1
20,12,2
20,2,3
20,29,1
20,5,1
20,37,1
20,39,1
21,33,1
21,31,1
21,34,1
21,46,1
21,55,2
21,18,1
21,45,2
21,1,5
21,4,1
21,49,1
21,15,1
21,54,2
21,43,2
21,42,2
21,40,1
21,50,1
21,16,2
21,35,2
21,25,2
21,21,2
21,48,1
21,6,1
21,24,2
21,26,2
21,19,2
21,10,1
21,32,2
21,56,1
21,47,1
21,20,2
21,14,1
21,3,3
21,51,2
21,53,2
21,57,1
21,7,1
21,41,1
21,22,2
21,28,1
21,8,2
21,17,2
21,9,2
21,13,1
21,23,1
21,27,1
21,44,1
21,36,1
21,30,2
21,38,1
21,52,1
21,11,1
21,12,2
21,2,3
21,29,1
21,5,1
21,37,1
21,39,1
22,33,1
22,31,1
22,34,1
22,46,1
22,55,2
22,18,1
22,45,2
22,1,5
22,4,1
22,49,1
22,15,1
22,54,2
22,43,2
22,42,2
22,40,1
22,50,1
22,16,2
22,35,2
22,25,2
22,21,2
22,48,1
22,6,1
22,24,2
22,26,2
22,19,2
22,10,1
22,32,2
22,56,1
22,47,1
22,20,2
22,14,1
22,3,3
22,51,2
22,53,2
22,57,1
22,7,1
22,41,1
22,22,2
22,28,1
22,8,2
22,17,2
22,9,2
22,13,1
22,23,1
22,27,1
22,44,1
22,36,1
22,30,2
22,38,1
22,52,1
22,11,1
22,12,2
22,2,3
22,29,1
22,5,1
22,37,1
22,39,1
23,33,1
23,31,1
23,34,1
23,46,1
23,55,2
23,18,1
23,45,2
23,1,5
23,4,1
23,49,1
23,15,1
23,54,2
23,43,2
23,42,2
23,40,1
23,50,1
23,16,2
23,35,2
23,25,2
23,21,2
23,48,1
23,6,1
23,24,2
23,26,2
23,19,2
23,10,1
23,32,2
23,56,1
23,47,1
23,20,2
23,14,1
23,3,3
23,51,2
23,53,2
23,57,1
23,7,1
